詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
,主詞目,凡勢,huān-sè,副詞,460(1)
,主詞目,山勢,suann-sè,"地理,自然現象",461(1)
,主詞目,土想,thóo-siūnn,心理活動,462(1)
,主詞目,下暗,e-àm,時間節令,463(1)
,主詞目,工會,kang-huē,"組織團體,相關用語",464(1)
,主詞目,工業,kang-gia̍p,科技、工業,465(1)
,主詞目,才會,tsiah ē,連詞、介詞,466(1)
,主詞目,山溝,suann-kau,"地理,自然現象",467(1)
,主詞目,山盟海誓,san-bîng-hái-sè,性質、程度,468(1)
,主詞目,下落,hē-lo̍h,境況、狀態-擬人,469(1)
,主詞目,千萬,tshian-bān,"數詞、量詞,副詞",470(1)
,主詞目,大腸,tuā-tn̂g,"生理構造,食物、飲料、煙酒",471(1)
,主詞目,大舅,tuā-kū,"宗族、家庭,稱謂輩分",472(1)
,主詞目,小腸,sió-tn̂g,"生理構造,食物、飲料、煙酒",473(1)
,主詞目,山腰,suann-io,"地理,自然現象",474(1)
,主詞目,大腹肚,tuā-pak-tóo,生養老死,475(1)
,主詞目,口試,kháu-tshì,"相關用語,教育、學術",476(1)
,主詞目,下跤,ē-kha,空間方位,477(1)
,主詞目,土話,thóo-uē,國家、社會、民眾,478(1)
,主詞目,大話,tuā-uē,氣質態度,479(1)
,主詞目,山貉,suann-hô,獸類,480(1)
,主詞目,山賊,suann-tsha̍t,"泛稱,地位、身世、背景",481(1)
,主詞目,山跤,suann-kha,"地理,自然現象",482(1)
,主詞目,下跤手人,ē-kha-tshiú-lâng,"泛稱,相關用語",483(1)
,主詞目,大跤胴,tuā-kha-tâng,體態樣貌,484(1)
,主詞目,三跤馬,sann-kha-bé,生活用品,485(1)
,主詞目,三跤貓,sann-kha-niau,泛稱,486(1)
,主詞目,低路,kē-lōo,才智能力,487(1)
,主詞目,大路,tuā-lōo,"個性風格,道路、橋梁",488(1)
,主詞目,小路,sió-lōo,道路、橋梁,489(1)
,主詞目,大道公,Tāi-tō-kong,神明、鬼怪、教派,490(1)
,主詞目,三頓,sann tǹg,食物、飲料、煙酒,491(1)
,主詞目,山雺,suann-bông,"天文,自然現象",492(1)
,主詞目,大鼓,tuā-kóo,戲劇、音樂,493(1)
,主詞目,大壽,tuā-siū,"生養老死,婚喪喜慶",494(1)
,主詞目,大漢,tuā-hàn,生養老死,495(1)
,主詞目,大箍,tuā-khoo,"體態樣貌,形貌、體積,數詞、量詞",496(1)
,主詞目,大箍呆,tuā-khoo-tai,體態樣貌,497(1)
,主詞目,上緊,siōng kín,"時間節令,性質、程度",498(1)
,主詞目,大腿,tuā-thuí,生理構造,499(1)
,主詞目,大腿骨,tuā-thuí-kut,生理構造,500(1)
,主詞目,上蓋,siōng-kài,副詞,501(1)
,主詞目,小說,sió-suat,文學、藝術,502(1)
,主詞目,大銀,tuā-gîn/tuā-gûn,相關器具、活動,503(1)
,主詞目,小銀,sió-gîn/sió-gûn,相關器具、活動,504(1)
,主詞目,亡魂,bông-hûn,"生養老死,相關器具、活動",505(1)
,主詞目,大餅,tuā-piánn,"性別、婚姻,婚喪喜慶,事、物泛稱",506(1)
,主詞目,三層,sam-tsân,"動物形體、行為,食物、飲料、煙酒",507(1)
,主詞目,工寮,kang-liâu,建築物、結構,508(1)
,主詞目,工廠,kang-tshiúnn,"科技、工業,建築物、結構",509(1)
,主詞目,三層肉,sam-tsân-bah,食物、飲料、煙酒,510(1)
,主詞目,大廣絃,tuā-kóng-hiân,戲劇、音樂,511(1)
,主詞目,小數,sió-sòo,"性質、程度,數詞、量詞",512(1)
,主詞目,干樂,kan-lo̍k,休閒、娛樂,513(1)
,主詞目,大熱,tuā-jua̍h/tuā-lua̍h,氣候溫度,514(1)
,主詞目,大範,tuā-pān,氣質態度,515(1)
,主詞目,山線,suann-suànn,道路、橋梁,516(1)
,主詞目,三線路,sam-suànn-lōo,道路、橋梁,517(1)
,主詞目,上課,siōng-khò,教育、學術,518(1)
,主詞目,工課,khang-khuè,"相關用語,生活勞動",519(1)
,主詞目,才調,tsâi-tiāu,才智能力,520(1)
,主詞目,大賣,tuā-bē/tuā-buē,商業,521(1)
,主詞目,小賣,sió-bē/sió-buē,商業,522(1)
,主詞目,山豬,suann-ti/suann-tu,獸類,523(1)
,主詞目,下輩,ē-puè,稱謂輩分,524(1)
,主詞目,三輪車,sann-lián-tshia,交通、運輸,525(1)
,主詞目,下頦,ē-hâi,生理構造,526(1)
,主詞目,大學,tāi-ha̍k,教育、學術,527(1)
,主詞目,小學,sió-ha̍k,教育、學術,528(1)
,主詞目,弓蕉,king-tsio,"蔬果作物,食物、飲料、煙酒",529(1)
,主詞目,弓蕉油,king-tsio-iû,"科技、工業,食物、飲料、煙酒",530(1)
,主詞目,山貓,suann-niau,獸類,531(1)
,主詞目,口頭,kháu-thâu,語言、文字、符號,532(1)
,主詞目,山頭,suann-thâu,"地理,自然現象,生養老死,婚喪喜慶",533(1)
,主詞目,工頭,kang-thâu,相關用語,534(1)
,主詞目,上頭仔,siōng-thâu-á,性質、程度,535(1)
,主詞目,大頭拇,tuā-thâu-bú,生理構造,536(1)
,主詞目,大頷胿,tuā-ām-kui,"氣質態度,傷疾病痛",537(1)
,主詞目,大頭菜,tuā-thâu-tshài,"蔬果作物,食物、飲料、煙酒",538(1)
,主詞目,大戲,tuā-hì,戲劇、音樂,539(1)
,主詞目,山嶺,suann-niá,"地理,自然現象",540(1)
,主詞目,土檨仔,thóo-suāinn-á,"蔬果作物,食物、飲料、煙酒",541(1)
,主詞目,上濟,siōng tsē/siōng tsuē,副詞,542(1)
,主詞目,上聲,sióng-siann,語言、文字、符號,543(1)
,主詞目,大聲,tuā-siann,"反應、表情,待人處事",544(1)
,主詞目,大膽,tuā-tánn,個性風格,545(1)
,主詞目,大聲話,tuā-siann-uē,氣質態度,546(1)
,主詞目,下擺,ē-pái,時間節令,547(1)
,主詞目,小嬸,sió-tsím,"宗族、家庭,稱謂輩分",548(1)
,主詞目,土雞仔,thóo-ke-á/thóo-kue-á,"禽類,相關用語",549(1)
,主詞目,下顎,ē-kok,生理構造,550(1)
,主詞目,工藝,kang-gē,休閒、娛樂,551(1)
,主詞目,下願,hē-guān,心理活動,552(1)
,主詞目,大龐,tuā-phiāng,體態樣貌,553(1)
,主詞目,大麵,tuā-mī,食物、飲料、煙酒,554(1)
,主詞目,大欉,tuā-tsâng,"植物形體、狀態,體態樣貌",555(1)
,主詞目,大廳,tuā-thiann,建築物、結構,556(1)
,主詞目,不,put,副詞,557(1)
,主詞目,丑,thiú,"時間節令,服務業及其他",558(1)
,主詞目,中,【白】tìng,一般動詞-靜態動詞,559(1)
,主詞目,中,【文】tiong,空間方位,560(1)
,主詞目,中,【文】tiòng,"一般動詞-行為動詞,一般動詞-靜態動詞",561(1)
,主詞目,丹,tan,"醫療保健,相關器具、活動,顏色、氣味",562(1)
,主詞目,之,tsi,"代名詞,連詞、介詞",563(1)
,主詞目,予,hōo,"一般動詞-行為動詞,連詞、介詞",564(1)
,主詞目,五,【白】gōo,數詞、量詞,565(1)
,主詞目,五,【文】ngóo,數詞、量詞,566(1)
,主詞目,井,【白】tsénn/tsínn,"生活用品,居住環境",567(1)
,主詞目,仁,jîn/lîn,"道德評價,形貌、體積,事、物泛稱",568(1)
,主詞目,仄,tseh,語言、文字、符號,569(1)
,主詞目,仆,phak,肢體動作,570(1)
,主詞目,仇,siû,待人處事,571(1)
,主詞目,今【替】,tann,時間節令,572(1)
,主詞目,允,ín/ún,一般動詞-行為動詞,573(1)
,主詞目,內,【白】lāi,空間方位,574(1)
,主詞目,內,【文】luē,空間方位,575(1)
,主詞目,公,【白】kang,動物形體、行為,576(1)
,主詞目,公,【文】kong,"地位、身世、背景,稱謂輩分,境況、狀態-擬事,性質、程度",577(1)
,主詞目,六,【白】la̍k,數詞、量詞,578(1)
,主詞目,六,【文】lio̍k,數詞、量詞,579(1)
,主詞目,冇【替】,phànn,"生活狀況,建築物、結構,性質、程度",580(1)
,主詞目,冗,līng,"形貌、體積,性質、程度,一般動詞-靜態動詞",581(1)
,主詞目,冗,liōng,性質、程度,582(1)
,主詞目,凶,hiong,"個性風格,境況、狀態-擬事",583(1)
,主詞目,分,【文】hun,"一般動詞-行為動詞,數詞、量詞",584(1)
,主詞目,分,【白】pun,一般動詞-行為動詞,585(1)
,主詞目,切,tshiat,一般動詞-行為動詞,586(1)
,主詞目,勻【替】,ûn,"稱謂輩分,數詞、量詞",587(1)
,主詞目,勼,kiu,"氣質態度,一般動詞-活動動詞",588(1)
,主詞目,勾,kau,一般動詞-行為動詞,589(1)
,主詞目,內䘥仔,lāi-kah-á,衣帽鞋襪,590(1)
,主詞目,中人,tiong-lâng,服務業及其他,591(1)
,主詞目,允人,ín--lâng/ún--lâng,一般動詞-行為動詞,592(1)
,主詞目,不才,put-tsâi,稱謂輩分,593(1)
,主詞目,內山,lāi-suann,"地理,自然現象",594(1)
,主詞目,內才,lāi-tsâi,才智能力,595(1)
,主詞目,分寸,hun-tshùn,"氣質態度,待人處事",596(1)
,主詞目,不三不四,put-sam-put-sù,道德評價,597(1)
,主詞目,不仁,put-jîn/put-lîn,道德評價,598(1)
,主詞目,中元,Tiong-guân,"時間節令,生活狀況,相關器具、活動",599(1)
,主詞目,五仁,ngóo-jîn/ngóo-lîn,"個性風格,食物、飲料、煙酒,語言、文字、符號",600(1)
,主詞目,仁丹,jîn-tan/lîn-tan,醫療保健,601(1)
,主詞目,內公,lāi-kong,"宗族、家庭,稱謂輩分",602(1)
,主詞目,公元,kong-guân,時間節令,603(1)
,主詞目,公分,kong-pun,一般動詞-行為動詞,604(1)
,主詞目,公分,kong-hun,數詞、量詞,605(1)
,主詞目,勻勻仔,ûn-ûn-á,心理狀態,606(1)
,主詞目,勻勻仔火,ûn-ûn-á-hué/ûn-ûn-á-hé,自然現象,607(1)
,主詞目,五分仔車,gōo-hun-á-tshia,交通、運輸,608(1)
,主詞目,不中用,put-tiòng-iōng,"泛稱,性質、程度",609(1)
,主詞目,五分車,gōo-hun-tshia,交通、運輸,610(1)
,主詞目,不止,put-tsí,"性質、程度,副詞",611(1)
,主詞目,中心,tiong-sim,空間方位,612(1)
,主詞目,井水,tsénn-tsuí/tsínn-tsuí,"生活用品,居住環境",613(1)
,主詞目,內心,luē-sim,心理狀態,614(1)
,主詞目,公文,kong-bûn,政治,615(1)
,主詞目,公斤,kong-kin/kong-kun,數詞、量詞,616(1)
,主詞目,冇手,phànn-tshiú,個性風格,617(1)
,主詞目,切手,tshiat-tshiú,郵電、網路,618(1)
,主詞目,勼手,kiu-tshiú,一般動詞-行為動詞,619(1)
,主詞目,勼水,kiu-tsuí,衣帽鞋襪,620(1)
,主詞目,勾引,kau-ín,一般動詞-行為動詞,621(1)
,主詞目,六月天,la̍k-gue̍h-thinn/la̍k-ge̍h-thinn,時間節令,622(1)
,主詞目,不止仔,put-tsí-á,副詞,623(1)
,主詞目,六月冬,la̍k-gue̍h-tang/la̍k-ge̍h-tang,"時間節令,蔬果作物,農林業",624(1)
,主詞目,五日節,Gōo-ji̍t-tseh/Gōo-li̍t-tsueh,"時間節令,生活狀況,相關器具、活動",625(1)
,主詞目,五月節,Gōo-gue̍h-tseh/Gōo-ge̍h-tsueh,"時間節令,生活狀況,相關器具、活動",626(1)
,主詞目,丑仔,thiú-á,"戲劇、音樂,休閒、娛樂",627(1)
,主詞目,今仔,tann-á,時間節令,628(1)
,主詞目,今仔日,kin-á-ji̍t/kin-á-li̍t,時間節令,629(1)
,主詞目,勻仔是,ûn-á-sī,心理狀態,630(1)
,主詞目,中古,tiong-kóo,"時間節令,境況、狀態-擬物",631(1)
,主詞目,內外,lāi-guā,空間方位,632(1)
,主詞目,五加皮,ngóo-ka-pî,食物、飲料、煙酒,633(1)
,主詞目,內奶,lāi-ling/lāi-ni,交通、運輸,634(1)
,主詞目,公平,kong-pênn/kong-pînn,心理狀態,635(1)
,主詞目,公母,kang-bó,事、物泛稱,636(1)
,主詞目,公民,kong-bîn,國家、社會、民眾,637(1)
,主詞目,中用,tiòng-iōng,"泛稱,性質、程度",638(1)
,主詞目,中立,tiong-li̍p,"氣質態度,待人處事",639(1)
,主詞目,丹田,tan-tiân,生理構造,640(1)
,主詞目,公用,kong-iōng,"境況、狀態-擬物,性質、程度",641(1)
,主詞目,冇石仔,phànn-tsio̍h-á,資源礦物,642(1)
,主詞目,予伊,hōo i,連詞、介詞,643(1)
,主詞目,介在,kài-tsāi,副詞,644(1)
,主詞目,公共,kong-kiōng,"境況、狀態-擬物,擬聲、擬態",645(1)
,主詞目,六合,lio̍k-ha̍p,空間方位,646(1)
,主詞目,今年,kin-nî,時間節令,647(1)
,主詞目,內地,lāi-tē/lāi-tuē,"地理,自然現象",648(1)
,主詞目,凶年,hiong-nî,生活狀況,649(1)
,主詞目,中旬,tiong-sûn,時間節令,650(1)
,主詞目,冗早,liōng-tsá,副詞,651(1)
,主詞目,不死鬼,put-sú-kuí,,652(1)
,主詞目,內行,lāi-hâng,"相關用語,才智能力",653(1)
,主詞目,內行的,lāi-hâng--ê,泛稱,654(1)
,主詞目,不而過,put-jî-kò/put-lî-kò,副詞,655(1)
,主詞目,不但,put-tān,連詞、介詞,656(1)
,主詞目,分伻,pun-phenn,一般動詞-行為動詞,657(1)
,主詞目,分別,hun-pia̍t,"心理活動,一般動詞-靜態動詞",658(1)
,主詞目,不孝,put-hàu,道德評價,659(1)
,主詞目,不求人,put-kiû-jîn/put-kiû-lîn,"生活用品,休閒、娛樂",660(1)
,主詞目,公里,kong-lí,數詞、量詞,661(1)
,主詞目,分身,hun-sin,"泛稱,相關用語",662(1)
,主詞目,公事,kong-sū,相關用語,663(1)
,主詞目,中和,tiong-hô,"地理,科技、工業,境況、狀態-擬事",664(1)
,主詞目,內底,lāi-té/lāi-tué,空間方位,665(1)
,主詞目,公所,kong-sóo,政治,666(1)
,主詞目,不服,put-ho̍k,心理狀態,667(1)
,主詞目,分明,hun-bîng,副詞,668(1)
,主詞目,不法,put-huat,法律,669(1)
,主詞目,六法全書,Lio̍k-huat-tsuân-su,法律,670(1)
,主詞目,公的,kang--ê,"動物形體、行為,植物形體、狀態",671(1)
,主詞目,分的,pun--ê,"地位、身世、背景,性質、程度",672(1)
,主詞目,五金,ngóo-kim,"資源礦物,科技、工業,生產工具",673(1)
,主詞目,五金行,ngóo-kim-hâng,"科技、工業,生活用品,建築物、結構",674(1)
,主詞目,中指,tiong-tsáinn,生理構造,675(1)
,主詞目,內政,luē-tsìng,政治,676(1)
,主詞目,五柳居,ngóo-liú-ki/ngóo-liú-ku,食物、飲料、煙酒,677(1)
,主詞目,中毒,tiòng-to̍k,傷疾病痛,678(1)
,主詞目,丹毒,tan-to̍k,傷疾病痛,679(1)
,主詞目,冇炭,phànn-thuànn,"資源礦物,廢棄物",680(1)
,主詞目,分派,hun-phài,一般動詞-行為動詞,681(1)
,主詞目,中秋,Tiong-tshiu,"時間節令,生活狀況,相關器具、活動",682(1)
,主詞目,內科,lāi-kho,醫療保健,683(1)
,主詞目,中秋節,Tiong-tshiu-tseh/Tiong-tshiu-tsueh,"時間節令,生活狀況,相關器具、活動",684(1)
,主詞目,中秋餅,Tiong-tshiu-piánn,"食物、飲料、煙酒,相關器具、活動",685(1)
,主詞目,中計,tiòng-kè,一般動詞-行為動詞,686(1)
,主詞目,內衫,lāi-sann,衣帽鞋襪,687(1)
,主詞目,中風,tiòng-hong,傷疾病痛,688(1)
,主詞目,五香,ngóo-hiang,食物、飲料、煙酒,689(1)
,主詞目,元首,guân-siú,"國家、社會、民眾,地位、身世、背景,政治",690(1)
,主詞目,內面,lāi-bīn,空間方位,691(1)
,主詞目,允准,ín-tsún/ún-tsún,心理活動,692(1)
,主詞目,內套,lāi-thò,衣帽鞋襪,693(1)
,主詞目,元宵,Guân-siau,"時間節令,生活狀況,相關器具、活動",694(1)
,主詞目,內孫,lāi-sun,"宗族、家庭,稱謂輩分",695(1)
,主詞目,內容,luē-iông,事、物泛稱,696(1)
,主詞目,公家,kong-ka,國家、社會、民眾,697(1)
,主詞目,公家,kong-ke,"境況、狀態-擬物,性質、程度",698(1)
,主詞目,不時,put-sî,時間節令,699(1)
,主詞目,六書,lio̍k-su,語言、文字、符號,700(1)
,主詞目,元氣,guân-khì,"反應、表情,體態樣貌",701(1)
,主詞目,六畜,lio̍k-thiok,"自然現象,獸類",702(1)
,主詞目,元神,guân-sîn,心理狀態,703(1)
,主詞目,中脊,tiong-tsit,建築物、結構,704(1)
,主詞目,分配,hun-phuè,一般動詞-行為動詞,705(1)
,主詞目,不動產,put-tōng-sán,錢財資產,706(1)
,主詞目,公婆,kong-pô,"宗族、家庭,性別、婚姻,稱謂輩分",707(1)
,主詞目,五彩,ngóo-tshái,顏色、氣味,708(1)
,主詞目,分張,pun-tiunn,個性風格,709(1)
,主詞目,不得了,put-tik-liáu,性質、程度,710(1)
,主詞目,不得已,put-tik-í,境況、狀態-擬人,711(1)
,主詞目,內情,luē-tsîng,,712(1)
,主詞目,中晝,tiong-tàu,"時間節令,食物、飲料、煙酒",713(1)
,主詞目,中晝時,tiong-tàu-sî,時間節令,714(1)
,主詞目,中晝飯,tiong-tàu-pn̄g,食物、飲料、煙酒,715(1)
,主詞目,中晝頓,tiong-tàu-tǹg,食物、飲料、煙酒,716(1)
,主詞目,公眾,kong-tsiòng,國家、社會、民眾,717(1)
